community,size,internal_edges,weighted_density,connected
91,4,4,0.4982320194443067,True
92,5,6,0.4578841105103493,True
93,3,2,0.527408500512441,True
94,7,8,0.2844898537510917,True
95,6,7,0.3520949165026347,True
96,9,21,0.44111819399727714,True
97,12,32,0.37212171450708853,True
98,36,272,0.3280463386622686,True
99,5,6,0.4657310888171196,True
100,17,55,0.31084624557372403,True
101,5,4,0.2979565724730492,True
102,2,1,0.763715535402298,True
103,69,1281,0.4245001983535869,True
104,35,253,0.32820433866576987,True
105,35,221,0.2822897095389727,True
106,36,296,0.35930977281596926,True
107,5,4,0.30544608533382417,True
108,3,3,0.7463072836399078,True
109,11,27,0.37866377993063494,True
110,3,2,0.5373585571845373,True
111,23,78,0.2375334067189175,True
112,5,4,0.29755244106054307,True
113,5,5,0.38953409641981124,True
114,19,85,0.3809998270712401,True
115,14,42,0.3575762973709421,True
116,6,11,0.5590386678775151,True
117,4,3,0.38141654431819916,True
118,42,308,0.271114373577458,True
119,4,3,0.3669534350434939,True
120,1,0,,True
121,3,2,0.5008137871821722,True
122,9,22,0.4622591481440597,True
123,42,282,0.2524925495273976,True
124,18,77,0.39828844027581556,True
125,11,31,0.4327823847532272,True
126,6,8,0.40753735105196637,True
127,23,116,0.3526395160572331,True
128,5,5,0.3827072873711586,True
129,5,7,0.5486953407526016,True
130,11,31,0.4329158474098552,True
131,7,10,0.35321021150975,True
132,54,559,0.2977319227741116,True
133,18,69,0.3482033836296181,True
134,155,4361,0.27747816881551174,True
135,11,24,0.34290250864895905,True
136,7,12,0.42883191931815373,True
137,7,12,0.42345280661469414,True
138,80,1155,0.27780144050057176,True
139,12,37,0.43887979379205994,True
140,28,182,0.3671301630517793,True
141,17,61,0.34619288047885194,True
142,13,31,0.3014348764450122,True
143,38,338,0.3720501729129558,True
144,4,3,0.37571843216816586,True
145,15,53,0.39631831035727544,True
146,7,8,0.28446628366197857,True
147,1,0,,True
148,3,2,0.49979691704114276,True
149,14,42,0.3662976329470729,True
150,35,249,0.3247058433144032,True
151,6,9,0.4528297940889994,True
152,17,63,0.35681781468584256,True
153,22,85,0.2795884353773935,True
154,5,4,0.29492754936218263,True
155,45,398,0.3100989906173764,True
156,7,14,0.5187194978906995,True
157,10,22,0.3730732235643599,True
158,9,24,0.5159634281363752,True
159,28,234,0.4740564381240537,True
160,6,7,0.3486228555440903,True
161,8,14,0.38472382883940426,True
162,4,3,0.37150690456231433,True
163,38,271,0.29890463425967295,True
164,9,12,0.26775194042258793,True
165,10,26,0.45259842177232107,True
166,63,905,0.35452995477916643,True
167,9,19,0.4039325751364231,True
168,14,49,0.41355725287736117,True
169,8,14,0.38813493879778044,True
170,5,7,0.5532049924135208,True
171,7,11,0.3973352937471299,True
172,9,20,0.42948077743252117,True
173,5,4,0.29325782507658005,True
174,8,17,0.45491438678332735,True
175,88,1338,0.2649874744222518,True
176,9,20,0.43037767170204055,True
177,3,3,0.7400569220383962,True
178,3,3,0.7622489283482233,True
179,6,6,0.30064535439014434,True
180,19,75,0.33397397477375834,True
181,22,121,0.3998040600772544,True
182,3,2,0.5036287208398184,True
183,10,18,0.3024773875872294,True
184,12,23,0.26823889757647656,True
185,4,3,0.37494635085264844,True
186,23,154,0.4731663177489292,True
187,19,73,0.3266950910202941,True
188,88,1347,0.27084927152659327,True
189,14,43,0.3673615594814112,True
190,25,105,0.27614075496792795,True
191,16,50,0.3197670567780733,True
192,30,220,0.3888945487381398,True
193,10,22,0.37543877595000796,True
194,41,319,0.2977066896492388,True
195,3,3,0.8552531798680624,True
196,8,15,0.4048375242522785,True
197,12,29,0.33438452378366934,True
198,18,95,0.4905138254360436,True
199,21,88,0.32362800730126245,True
200,4,4,0.5308321540554365,True
201,2,1,0.7398012578487396,True
202,4,4,0.5021360715230306,True
203,5,5,0.37867541015148165,True
204,69,861,0.27650566849435176,True
205,13,30,0.2959274078408877,True
206,19,65,0.2932028001860568,True
207,1,0,,True
208,69,1174,0.3849113260388679,True
209,3,2,0.49045610427856445,True
210,6,7,0.35147475202878314,True
211,19,73,0.32843369254243304,True
212,7,12,0.43568972391741617,True
213,12,39,0.45689913923993253,True
214,15,41,0.2981674351862499,True
215,8,12,0.3243129386433533,True
216,5,8,0.6171464383602142,True
217,13,45,0.44527611365685094,True
218,3,2,0.4929895947376887,True
219,7,9,0.32517998133386883,True
220,24,122,0.3381251338599385,True
221,9,21,0.4482010905113485,True
222,6,8,0.40520389676094054,True
223,5,6,0.48434633314609526,True
224,4,3,0.3737485706806183,True
225,43,431,0.3657508334877219,True
226,3,2,0.48754999538262683,True
227,5,6,0.4714965373277664,True
228,26,198,0.47163364983521977,True
229,9,20,0.4342796111272441,True
230,1,0,,True
231,3,2,0.5331045389175415,True
