partition,anchor,community,size,duplicate_of_anchor,centers,fixed_sample,boundary,members
seeded baseline,合同,761,16,,协议 签订 签署 协议书 订立 协定 合同 达成,达成 协议 约定 谅解 生效 契约 签署 签,达成 签字 生效 条约 约定 谅解,协定 协议 协议书 合同 契约 条约 生效 签 签字 签约 签署 签订 约定 订立 谅解 达成
seeded baseline,银行,16,30,,存折 银行卡 支票 挂失 汇款 信用卡 身份证 取款,印章 支票 磁卡 汇款 存折 收据 卡 活期,证件 钱包 银行 储蓄 钞票 活期,一卡通 信用卡 借条 储蓄 凭证 卡 卡片 印章 发票 取款 取款机 外币 存折 存款 护照 挂失 支票 收据 欠条 汇款 活期 磁卡 证件 账单 账户 身份证 钞票 钱包 银行 银行卡
seeded baseline,软件,117,12,,硬盘 磁盘 浏览器 光盘 服务器 内存 杀毒 光碟,内存 服务器 硬盘 光碟 下载 杀毒 软件 光盘,下载 软件 防火墙 格式 浏览器 杀毒,下载 光盘 光碟 内存 服务器 杀毒 格式 浏览器 硬盘 磁盘 软件 防火墙
seeded baseline,感冒,167,68,,急性 病症 炎症 腹泻 症状 疾病 慢性 癌症,损伤 服用 疼痛 咳嗽 病情 患有 肿瘤 霍乱,疗效 抗生素 职业病 不适 昏迷 衰竭,不适 中毒 休克 传染 传染病 免疫 出血 创伤 副作用 发作 发炎 发烧 发热 发病 后遗症 呕吐 咳嗽 复发 失明 失眠 头晕 心脏病 急性 患 患有 患病 感冒 感染 慢性 抑郁 抑郁症 抗生素 损伤 昏迷 晕车 服用 治愈 治疗 流感 炎症 生病 疗效 疼痛 疾病 病 病情 病症 症状 痴呆 癌 癌症 确诊 精神病 糖尿病 职业病 肥胖 肿瘤 腹泻 艾滋病 血压 血栓 衰竭 衰老 过敏 近视 霍乱 骨折 高血压
seeded baseline,火车,103,40,,列车 火车 车票 卧铺 慢车 车站 乘客 公共汽车,线路 地铁 退票 车票 火车 公共汽车 搭乘 航班,线路 登机 座位 长途 行李 高铁,上车 下车 乘坐 乘客 乘车 公共汽车 列车 卧铺 售票 地铁 地铁站 坐 大巴 客运 巴士 座位 快车 慢车 搭乘 旅客 晚点 机场 火车 特快 电车 登机 票价 站台 线路 缆车 航班 行李 趟 车厢 车票 车站 退票 铁路 长途 高铁
seeded baseline,妈妈,26,139,老师,姑姑 舅舅 姐姐 妹妹 爸爸 嫂子 哥哥 奶奶,父女 她 老婆 家里 哥哥 姐妹 老乡 姑娘,老王 别人 她们 亲属 女生 朋友,一家人 丈夫 两口子 丫头 主人 乖 乡下 乡亲 亲人 亲友 亲属 亲戚 亲朋好友 亲生 人家 仇人 他 伯伯 伯母 伯父 你 保姆 俩 儿女 儿子 全家 别人 叔叔 同事 同伴 同学 哥 哥哥 外公 外婆 大人 大哥 大妈 大姐 大爷 太太 夫人 女人 女儿 女婿 女孩儿 女朋友 女生 奶奶 她 她们 妈 妈妈 妹 妹妹 妻子 姐 姐妹 姐姐 姑姑 姑娘 姥姥 姥爷 姨 娘 娶 媳妇 嫂子 子女 孙女 孙子 孩子 宝宝 家人 家伙 家里 家长 寡妇 小伙子 小偷儿 小姐 小孩儿 小时候 小朋友 岳母 岳父 帅哥 师傅 师父 弟 弟弟 徒弟 恩人 情人 我 战友 新娘 朋友 母亲 母女 爱人 父亲 父女 父子 父母 爷爷 爸 爸爸 爹 班长 男人 男孩儿 男朋友 男生 祖母 祖父 继母 继父 老乡 老人 老人家 老伴儿 老公 老大 老太太 老头儿 老婆 老家 老师 老板 老汉 老王 胖子 舅舅 贪玩儿 邻居 长辈 闺女 阿姨
seeded baseline,为什么,160,27,,怎么 怎样 什么 究竟 呢 哪里 哪儿 谁,请问 什么样 哪里 怎么 有没有 何处 谁 怎样,不知 请问 什么样 有没有 吗 呢,不知 为什么 为何 什么 什么样 何处 何时 到底 吗 呢 哪 哪些 哪儿 哪里 多久 多少 如何 干什么 怎么 怎么办 怎么样 怎样 是否 有没有 究竟 请问 谁
seeded baseline,公斤,364,19,,公斤 千克 斤 立方米 公顷 平方米 亩 米,桶 尺 公斤 千克 毫升 吨 立方 毫米,尺 厘米 毫米 克 平方 毫升,亩 克 公斤 公里 公顷 千克 厘米 吨 尺 平方 平方米 斤 桶 毫升 毫米 磅 立方 立方米 米
seeded baseline,花,1178,9,,菊花 桃花 牡丹 玫瑰 梅花 花 百合 鲜花,桃花 梅花 花 玫瑰 菊花 芦花 鲜花 百合,花 芦花 鲜花 百合 玫瑰 桃花,桃花 梅花 牡丹 玫瑰 百合 芦花 花 菊花 鲜花
seeded baseline,行,1287,1,,行,行,行,行
control t=0.7 unshifted q=0.3,苹果,1175,4,,新款 系列 问世 苹果,苹果 问世 系列 新款,系列 苹果 问世 新款,新款 系列 苹果 问世
control t=0.7 unshifted q=0.3,牛奶,70,157,,米饭 豆腐 豆浆 香肠 卤味 薯条 酸奶 饺子,蘸 茶叶 饮料 豆浆 橙汁 炖 咖啡 馒头,味道 腥 啤酒 香味 晚餐 桂花,三明治 中餐 主食 佐料 冰棍儿 勺 包子 午餐 南瓜 卤味 口味 口感 可乐 可口 吃 味精 味道 咖啡 品尝 啤酒 喝 嚼 土豆 大米 奶 奶茶 好吃 嫩 寿司 小吃 巧克力 开水 快餐 拌 方便面 早餐 晚餐 月饼 果汁 果酱 枣 柿子 核桃 桂花 梨 椰子 橙汁 水果 汁 汤 汤圆 汽水 海鲜 涮 火腿 火锅 炖 点心 烤 烤肉 烤鸭 烧烤 热腾腾 烹调 煎 煮 煲 熟 牛奶 瓜 甜 电饭锅 番茄 白菜 盒饭 砂糖 碗 米饭 粥 粽子 糖 糖果 素食 红茶 红薯 红酒 绿茶 罐头 美味 美食 肉 脆 腥 芝士 芝麻 花生 茄子 茶 茶叶 莲子 菜 萝卜 葡萄 葱 蒜 蒸 蔬菜 薯条 薯片 蘑菇 蘸 虾 蛋糕 蜂蜜 西瓜 西红柿 西餐 调料 豆制品 豆子 豆浆 豆腐 辣 辣椒 酥 酱 酱油 酸奶 醋 锅 零食 面包 面条儿 面粉 风味 食品 食物 食用 餐 饭 饮料 饺子 饼 饼干 馅儿 馋 馒头 香 香味 香料 香油 香肠 香蕉 鲜美 鸡蛋 麻辣 黄瓜
control t=0.7 unshifted q=0.3,咖啡,70,157,牛奶,米饭 豆腐 豆浆 香肠 卤味 薯条 酸奶 饺子,饭 调料 味精 桂花 热腾腾 火锅 茄子 绿茶,味道 腥 啤酒 香味 晚餐 桂花,三明治 中餐 主食 佐料 冰棍儿 勺 包子 午餐 南瓜 卤味 口味 口感 可乐 可口 吃 味精 味道 咖啡 品尝 啤酒 喝 嚼 土豆 大米 奶 奶茶 好吃 嫩 寿司 小吃 巧克力 开水 快餐 拌 方便面 早餐 晚餐 月饼 果汁 果酱 枣 柿子 核桃 桂花 梨 椰子 橙汁 水果 汁 汤 汤圆 汽水 海鲜 涮 火腿 火锅 炖 点心 烤 烤肉 烤鸭 烧烤 热腾腾 烹调 煎 煮 煲 熟 牛奶 瓜 甜 电饭锅 番茄 白菜 盒饭 砂糖 碗 米饭 粥 粽子 糖 糖果 素食 红茶 红薯 红酒 绿茶 罐头 美味 美食 肉 脆 腥 芝士 芝麻 花生 茄子 茶 茶叶 莲子 菜 萝卜 葡萄 葱 蒜 蒸 蔬菜 薯条 薯片 蘑菇 蘸 虾 蛋糕 蜂蜜 西瓜 西红柿 西餐 调料 豆制品 豆子 豆浆 豆腐 辣 辣椒 酥 酱 酱油 酸奶 醋 锅 零食 面包 面条儿 面粉 风味 食品 食物 食用 餐 饭 饮料 饺子 饼 饼干 馅儿 馋 馒头 香 香味 香料 香油 香肠 香蕉 鲜美 鸡蛋 麻辣 黄瓜
control t=0.7 unshifted q=0.3,衬衫,101,68,,衬衣 衬衫 毛衣 大衣 裙子 上衣 外套 衣服,地毯 上衣 雨衣 毛巾 书包 打扮 穿 裤子,铅笔 丝绸 首饰 时装 透气 拉锁,上衣 丝绸 书包 保暖 兜儿 内衣 凉鞋 制服 发型 口罩 围巾 地毯 外套 外衣 大衣 婚纱 尼龙 帽子 戒指 戴 手套 手帕 手表 打扮 拉锁 拖鞋 旗袍 时装 服装 服饰 款式 毛巾 毛衣 牙刷 牛仔裤 球鞋 皮包 皮带 皮鞋 眼镜 睡袋 短裤 礼服 穿 穿着 纽扣 绷带 羽绒服 背包 背心 衣服 衬衣 衬衫 袜子 装扮 裙子 裤子 西装 辫子 透气 铅笔 雨衣 靴子 鞋 项链 领带 首饰 高跟鞋
