community,size,mean_best_match_jaccard,min_best_match_jaccard,fraction_members_in_best_match_every_repeat
127,13,0.7985994397759104,0.47058823529411764,0.6153846153846154
128,175,0.8851119679360916,0.8341968911917098,0.8514285714285714
129,2,0.11666666666666667,0.08333333333333333,0.5
130,5,0.4015151515151515,0.3333333333333333,0.8
131,73,0.6241724392180853,0.59375,0.7534246575342466
132,90,0.8572356630824373,0.5916666666666667,0.7555555555555555
133,13,0.20071864111498258,0.17073170731707318,0.46153846153846156
134,3,0.47916666666666663,0.16666666666666666,0.3333333333333333
135,8,0.5027777777777778,0.2,0.0
136,20,0.5250909391534391,0.34375,0.45
137,8,0.63125,0.6,0.625
138,11,0.37747678018575853,0.29411764705882354,0.36363636363636365
139,58,0.5297147098222367,0.19696969696969696,0.1724137931034483
140,37,0.9286437246963563,0.9210526315789473,0.9459459459459459
141,4,0.9,0.6,0.75
142,10,0.7234848484848485,0.16666666666666666,0.2
143,28,0.3672957158232982,0.28125,0.32142857142857145
144,4,0.5238095238095238,0.16666666666666666,0.25
145,2,0.625,0.5,0.5
146,7,0.1916208791208791,0.125,0.14285714285714285
147,2,0.8125,0.25,0.5
148,19,0.5799363711001642,0.41379310344827586,0.47368421052631576
149,3,0.3125,0.25,0.3333333333333333
150,7,0.8571428571428571,0.8571428571428571,0.5714285714285714
151,28,0.5510110294117647,0.4473684210526316,0.2857142857142857
152,19,0.7554112554112554,0.6190476190476191,0.6842105263157895
153,17,0.5978049728049728,0.5555555555555556,0.7647058823529411
154,8,0.42543859649122806,0.3333333333333333,0.375
155,2,0.5416666666666666,0.5,0.5
156,1,0.75,0.5,1.0
157,7,0.16929945054945056,0.07142857142857142,0.0
158,22,0.1613754668393384,0.12280701754385964,0.3181818181818182
159,27,0.9827586206896551,0.9310344827586207,1.0
160,2,0.6875,0.25,0.5
161,3,0.5833333333333334,0.3333333333333333,0.3333333333333333
162,4,0.5833333333333334,0.3333333333333333,0.5
163,8,0.6386363636363637,0.45454545454545453,0.5
164,9,0.653030303030303,0.5454545454545454,0.6666666666666666
165,6,0.6875,0.375,0.5
166,9,0.4375,0.375,0.5555555555555556
167,4,0.3196969696969697,0.2727272727272727,0.25
168,4,1.0,1.0,1.0
169,5,0.31875,0.125,0.2
170,3,0.32765151515151514,0.06060606060606061,0.0
171,7,0.36043123543123545,0.15384615384615385,0.0
172,12,0.3044473642299729,0.14285714285714285,0.16666666666666666
173,11,0.9166666666666666,0.75,0.8181818181818182
174,6,0.3568627450980392,0.2,0.16666666666666666
175,5,0.13839285714285715,0.125,0.0
176,4,1.0,1.0,1.0
177,30,0.468236076986077,0.44,0.3333333333333333
178,40,0.7909902597402597,0.4318181818181818,0.425
179,11,0.678030303030303,0.22727272727272727,0.45454545454545453
180,1,0.057944051478534236,0.034482758620689655,1.0
181,25,0.30831928960331867,0.2857142857142857,0.0
182,9,0.7980769230769231,0.6923076923076923,1.0
183,3,0.625,0.5,0.3333333333333333
184,26,0.9245014245014245,0.9230769230769231,0.8846153846153846
185,69,0.9337343505477308,0.8888888888888888,0.927536231884058
186,13,0.13922634271099743,0.125,0.23076923076923078
187,13,0.4526098901098901,0.34615384615384615,0.6923076923076923
188,17,0.9436274509803921,0.8333333333333334,0.8823529411764706
189,109,0.6876872021783527,0.33076923076923076,0.3486238532110092
190,8,0.9444444444444444,0.7777777777777778,0.875
191,29,0.6446512836855476,0.3492063492063492,0.7586206896551724
192,1,0.3333333333333333,0.3333333333333333,1.0
193,31,0.8821546397151236,0.7142857142857143,0.967741935483871
194,3,0.9375,0.75,1.0
195,3,0.6833333333333333,0.4,0.6666666666666666
196,2,0.3,0.2,1.0
197,10,0.725,0.5,0.7
198,12,0.8814102564102564,0.7692307692307693,0.8333333333333334
199,18,1.0,1.0,1.0
200,3,0.7,0.4,0.6666666666666666
201,2,0.2791666666666667,0.2,0.0
202,12,0.9791666666666666,0.9166666666666666,0.9166666666666666
203,6,0.40625,0.125,0.16666666666666666
204,8,0.5951388888888889,0.5,0.625
205,19,0.14238095238095239,0.13333333333333333,0.0
206,18,0.7496212121212121,0.6666666666666666,0.6666666666666666
207,1,0.3958333333333333,0.25,1.0
208,76,0.8374609515799591,0.7816091954022989,0.8552631578947368
209,3,0.875,0.75,1.0
210,4,0.7714285714285715,0.2857142857142857,0.5
211,18,0.7718728639781272,0.6363636363636364,0.7222222222222222
212,18,0.46721014492753626,0.25,0.0
213,15,0.7053810160427807,0.18181818181818182,0.26666666666666666
214,12,0.7159455128205128,0.5625,0.5833333333333334
215,6,0.17569444444444443,0.1111111111111111,0.0
216,4,0.45,0.4,0.25
217,6,0.37543290043290045,0.16666666666666666,0.3333333333333333
218,1,0.5,0.16666666666666666,1.0
219,24,0.7407738095238094,0.5714285714285714,0.5833333333333334
220,6,0.6994047619047619,0.625,0.6666666666666666
221,4,0.9,0.8,1.0
222,3,0.4894736842105263,0.15789473684210525,1.0
223,71,0.6150311646060865,0.4567901234567901,0.352112676056338
224,30,0.8071195829260345,0.6363636363636364,0.6
225,10,1.0,1.0,1.0
226,16,0.9264705882352942,0.8235294117647058,0.875
227,1,0.78125,0.125,1.0
228,11,0.3793792879470629,0.17391304347826086,0.0
229,11,0.42894736842105263,0.25,0.18181818181818182
230,13,0.7193223443223443,0.3333333333333333,0.23076923076923078
231,2,0.8125,0.25,0.5
232,3,0.7125,0.6,1.0
233,7,0.5571428571428572,0.4,0.14285714285714285
234,41,0.5672387348173942,0.4418604651162791,0.0
235,14,0.837202380952381,0.625,0.7142857142857143
236,9,0.547581585081585,0.46153846153846156,0.5555555555555556
237,44,0.7202410130718954,0.6078431372549019,0.7045454545454546
238,13,0.5597527472527473,0.14285714285714285,0.0
239,7,0.7098214285714286,0.375,0.42857142857142855
240,16,0.5763146167557932,0.17647058823529413,0.1875
241,7,0.4583333333333333,0.3333333333333333,0.2857142857142857
242,15,0.5765931372549019,0.16666666666666666,0.2
243,61,0.6564887152414657,0.5866666666666667,0.6229508196721312
244,2,0.11859431013879952,0.046511627906976744,0.5
245,2,0.5416666666666666,0.25,0.0
246,8,0.35657051282051283,0.25,0.0
247,1,1.0,1.0,1.0
248,4,0.85,0.4,0.5
249,27,0.673220831587767,0.4375,0.4074074074074074
250,8,0.7840909090909091,0.6363636363636364,0.875
251,20,0.9624999999999999,0.95,0.9
252,8,0.7196969696969697,0.5454545454545454,0.75
253,8,0.7722222222222221,0.5,0.625
254,5,0.3472222222222222,0.2,0.2
255,13,0.6782852564102564,0.6,0.6153846153846154
256,32,0.9333130411255411,0.8857142857142857,0.96875
257,3,0.47916666666666663,0.25,0.0
258,3,0.75,0.6666666666666666,0.6666666666666666
259,6,0.2738095238095238,0.2222222222222222,0.0
260,7,0.5369318181818181,0.36363636363636365,0.5714285714285714
261,14,0.5386904761904762,0.32142857142857145,0.6428571428571429
262,12,0.717296918767507,0.5882352941176471,0.6666666666666666
263,9,0.2361111111111111,0.14285714285714285,0.2222222222222222
264,17,0.558625730994152,0.55,0.29411764705882354
265,3,0.16319444444444445,0.1111111111111111,0.0
266,22,0.8051839464882944,0.7692307692307693,0.8636363636363636
267,12,0.8615384615384616,0.8,1.0
268,9,0.1534090909090909,0.08333333333333333,0.0
269,2,0.225,0.2,0.5
270,3,0.7916666666666666,0.5,0.3333333333333333
271,7,0.38721804511278196,0.2631578947368421,0.14285714285714285
272,6,0.1935897435897436,0.13333333333333333,0.3333333333333333
273,8,0.6416666666666666,0.5833333333333334,0.75
274,13,0.8654761904761905,0.8,0.9230769230769231
275,24,0.5681818181818182,0.42424242424242425,0.4166666666666667
276,23,0.5651663351016799,0.3103448275862069,0.30434782608695654
277,13,0.7392132291513096,0.6842105263157895,0.8461538461538461
278,18,0.7521929824561404,0.6111111111111112,0.5555555555555556
279,11,0.31634310134310134,0.23076923076923078,0.09090909090909091
280,33,0.9158730158730158,0.8611111111111112,0.9393939393939394
281,40,0.6740056818181819,0.46875,0.725
282,5,0.9166666666666667,0.8333333333333334,1.0
283,6,0.7767857142857143,0.75,1.0
284,6,0.8928571428571428,0.8571428571428571,1.0
285,4,0.39285714285714285,0.3333333333333333,0.25
286,2,0.55,0.2,0.5
287,19,0.8767230576441103,0.8095238095238095,0.8421052631578947
288,26,0.907967032967033,0.7857142857142857,0.8461538461538461
289,2,0.8333333333333333,0.6666666666666666,1.0
290,8,0.8888888888888888,0.6666666666666666,0.75
291,1,0.5454545454545454,0.09090909090909091,1.0
292,2,0.6125,0.2,0.5
293,6,0.5491071428571428,0.5,0.3333333333333333
294,12,0.6977766106442577,0.625,0.8333333333333334
295,3,0.7083333333333334,0.3333333333333333,0.3333333333333333
296,7,0.6899350649350648,0.5,0.7142857142857143
297,12,0.5833333333333334,0.35714285714285715,0.16666666666666666
298,7,0.4485479797979798,0.25,0.42857142857142855
299,11,0.2569444444444444,0.25,0.0
300,8,0.3888888888888889,0.3333333333333333,0.0
301,2,0.8333333333333333,0.6666666666666666,1.0
302,5,0.44166666666666665,0.16666666666666666,0.0
303,11,0.37190734989648033,0.21739130434782608,0.36363636363636365
304,10,0.6667832167832168,0.6153846153846154,0.7
305,4,0.6875,0.5,0.5
306,6,0.30952380952380953,0.2857142857142857,0.3333333333333333
307,7,0.18647186147186146,0.13636363636363635,0.0
308,77,0.770866561377934,0.45918367346938777,0.5194805194805194
309,3,0.43125,0.25,0.3333333333333333
310,7,0.5462662337662337,0.25,0.14285714285714285
311,8,0.6437062937062936,0.5384615384615384,0.75
312,10,0.7931818181818182,0.7272727272727273,0.6
313,4,0.85,0.6,0.75
314,2,0.4732142857142857,0.14285714285714285,0.5
315,2,0.75,0.6666666666666666,1.0
316,7,0.11383304195804196,0.07692307692307693,0.14285714285714285
