token,community,best_cluster_match_fraction
主管,256,1.0
主编,181,0.25
主要,267,1.0
主观,268,0.0
主角,254,0.75
主页,117,0.75
主题,269,1.0
主题歌,185,1.0
主食,69,1.0
举,270,1.0
举一反三,271,1.0
举世无双,272,1.0
举世瞩目,273,1.0
举世闻名,274,1.0
举例,275,0.5
举办,276,0.75
举动,277,0.75
举手,270,0.75
举报,278,1.0
举措,279,0.75
举止,189,0.25
举行,280,1.0
举重,281,1.0
乃,282,1.0
乃至,283,1.0
久,284,1.0
久仰,285,0.5
久违,286,1.0
义务,287,1.0
义工,288,1.0
之,282,1.0
之一,289,1.0
之下,106,0.75
之中,221,1.0
之内,290,0.75
之前,91,1.0
之后,122,1.0
之外,290,1.0
之所以,291,1.0
之类,292,0.5
之间,293,0.75
乌云,294,1.0
乐,295,1.0
乐器,185,1.0
乐园,296,1.0
乐意,297,1.0
乐曲,185,1.0
乐观,298,1.0
乐趣,299,0.0
乐队,185,1.0
乒乓球,281,1.0
乔装,300,0.5
乖,26,1.0
乖巧,189,0.75
乘,301,1.0
乘人之危,302,0.75
乘坐,102,1.0
乘客,102,1.0
乘车,102,1.0
乙,194,1.0
九,1,1.0
乞丐,303,1.0
乞求,108,0.5
乞讨,303,0.0
也,120,0.75
也好,292,1.0
也就是说,53,1.0
也许,132,1.0
习俗,304,1.0
习惯,305,0.5
乡,306,0.0
乡下,26,1.0
乡亲,26,1.0
乡村,307,0.25
书,181,0.25
书写,234,0.0
书包,100,1.0
书店,178,1.0
书房,308,1.0
书架,308,1.0
书柜,308,1.0
书桌,308,1.0
书橱,308,1.0
书法,224,1.0
书籍,181,0.25
书记,256,1.0
书面,309,1.0
买,205,0.0
买不起,130,1.0
买卖,310,1.0
乱,311,0.25
乱七八糟,201,0.75
乳制品,312,1.0
了,313,1.0
了不起,273,1.0
了却,314,1.0
了结,315,1.0
了解,316,0.0
予以,124,1.0
争,317,0.0
争先恐后,318,0.5
争光,317,1.0
争分夺秒,151,0.25
争取,319,1.0
争吵,320,0.25
争夺,321,1.0
争执,320,0.25
争气,317,1.0
争端,320,1.0
争议,320,0.25
争论,320,0.25
事,322,1.0
事业,323,1.0
事件,322,0.75
事先,324,1.0
事务,325,0.0
事务所,326,1.0
事后,122,1.0
事宜,325,1.0
事实,327,0.75
事实上,53,1.0
事态,322,0.25
事情,322,1.0
事故,148,0.75
事物,268,0.25
事迹,328,0.5
事项,325,1.0
二,1,1.0
二手,32,0.75
二手车,329,0.0
二氧化碳,330,0.25
二维码,331,1.0
于,332,1.0
于是,122,1.0
亏,333,0.25
亏损,198,0.5
亏本,334,0.25
云,335,1.0
互信,336,0.25
互动,337,0.25
互助,171,0.75
互相,293,1.0
互联网,338,0.25
互补,337,1.0
互访,336,1.0
五,1,1.0
五星级,339,0.75
五花八门,340,0.75
五颜六色,341,0.75
井,342,0.75
亚军,191,1.0
亚运会,191,1.0
些,8,0.5
亡羊补牢,271,0.5
交,343,0.25
交付,344,0.0
交代,345,0.75
交叉,293,0.5
交响乐,185,1.0
交头接耳,10,1.0
交往,336,1.0
交情,346,1.0
交换,347,0.75
交接,348,0.25
交易,310,0.75
交替,293,0.25
交朋友,346,0.25
交流,336,1.0
交涉,336,1.0
交界,199,1.0
交纳,349,1.0
交给,350,0.75
交警,351,0.5
交谈,346,0.0
交费,349,1.0
交通,352,1.0
交锋,321,0.75
交际,353,0.75
交集,354,0.5
亦,120,1.0
产,355,1.0
产业,197,1.0
产值,198,1.0
产品,197,1.0
产地,355,0.0
产物,356,1.0
产生,357,0.25
产量,198,1.0
亩,358,0.75
享,299,0.75
享受,299,0.75
享有,359,0.5
京剧,185,1.0
亮,360,1.0
亮丽,243,1.0
亮点,163,0.5
亮相,361,0.5
亲,362,1.0
亲人,26,1.0
亲切,346,0.0
亲友,26,1.0
亲和力,363,1.0
亲密,346,0.75
亲属,26,1.0
