run,earliest_hsk_level,words,singletons,words_in_size_3_to_30
raw-t0.725-r0.1-run03,5,1056,26,777
raw-t0.725-r0.1-run03,6,1121,35,821
raw-t0.725-r0.1-run03,2,744,18,508
raw-t0.725-r0.1-run03,4,969,24,700
raw-t0.725-r0.1-run03,3,951,28,721
raw-t0.725-r0.1-run04,1,503,15,266
raw-t0.725-r0.1-run04,7-9,5592,189,4063
raw-t0.725-r0.1-run04,5,1056,22,787
raw-t0.725-r0.1-run04,6,1121,35,828
raw-t0.725-r0.1-run04,2,744,17,504
raw-t0.725-r0.1-run04,4,969,26,708
raw-t0.725-r0.1-run04,3,951,29,717
raw-t0.725-r0.1-run05,1,503,12,293
raw-t0.725-r0.1-run05,7-9,5592,197,4172
raw-t0.725-r0.1-run05,5,1056,24,799
raw-t0.725-r0.1-run05,6,1121,33,849
raw-t0.725-r0.1-run05,2,744,14,515
raw-t0.725-r0.1-run05,4,969,27,711
raw-t0.725-r0.1-run05,3,951,32,739
raw-t0.725-r0.2-run01,1,503,15,337
raw-t0.725-r0.2-run01,7-9,5592,275,4334
raw-t0.725-r0.2-run01,5,1056,39,843
raw-t0.725-r0.2-run01,6,1121,49,897
raw-t0.725-r0.2-run01,2,744,21,606
raw-t0.725-r0.2-run01,4,969,34,780
raw-t0.725-r0.2-run01,3,951,44,779
raw-t0.725-r0.2-run02,1,503,16,324
raw-t0.725-r0.2-run02,7-9,5592,267,4239
raw-t0.725-r0.2-run02,5,1056,33,821
raw-t0.725-r0.2-run02,6,1121,58,877
raw-t0.725-r0.2-run02,2,744,21,571
raw-t0.725-r0.2-run02,4,969,35,760
raw-t0.725-r0.2-run02,3,951,42,755
raw-t0.725-r0.2-run03,1,503,15,335
raw-t0.725-r0.2-run03,7-9,5592,271,4307
raw-t0.725-r0.2-run03,5,1056,35,843
raw-t0.725-r0.2-run03,6,1121,65,881
raw-t0.725-r0.2-run03,2,744,21,596
raw-t0.725-r0.2-run03,4,969,30,780
raw-t0.725-r0.2-run03,3,951,39,750
raw-t0.725-r0.2-run04,1,503,15,322
raw-t0.725-r0.2-run04,7-9,5592,263,4305
raw-t0.725-r0.2-run04,5,1056,35,838
raw-t0.725-r0.2-run04,6,1121,53,880
raw-t0.725-r0.2-run04,2,744,25,579
raw-t0.725-r0.2-run04,4,969,37,773
raw-t0.725-r0.2-run04,3,951,41,764
raw-t0.725-r0.2-run05,1,503,15,353
raw-t0.725-r0.2-run05,7-9,5592,254,4368
raw-t0.725-r0.2-run05,5,1056,35,835
