community,size,mean_pair_cosine,mean_cosine_silhouette,negative_silhouette_fraction,representatives,boundary_words,deterministic_sample,all_members
14,44,0.443482544718323,0.009652592870063382,0.4090909090909091,摇头 苦笑 小声 冷笑 咧嘴 发愣 笑 哆嗦 大声 点头 自言自语 一言不发,扭头 睁 恍然大悟 目瞪口呆 漠然 惨白 吼 指着,插嘴 一声不吭 哄堂大笑 吼 嚷 一言不发 前仰后合 自言自语 笑 瞪 睁 皱,摇头 苦笑 小声 冷笑 咧嘴 发愣 笑 哆嗦 大声 点头 自言自语 一言不发 扭头 一声不吭 眉开眼笑 嬉笑 瞪 目瞪口呆 愣 呜咽 一动不动 插嘴 目不转睛 嚷 通红 惨白 面红耳赤 前仰后合 哄堂大笑 交头接耳 说道 微笑 睁 发抖 皱 沉默 恍然大悟 鸦雀无声 漠然 沉思 指着 七嘴八舌 会意 吼
15,33,0.3870326543750306,-0.008521080654587355,0.5757575757575758,支票 存折 银行卡 账单 汇款 挂失 收据 发票 取款 信用卡 付款 借条,字迹 缴费 取款机 硬币 押金 密码 手续费 账,取款 密码 卡 挂失 缴费 一卡通 取款机 印章 信用卡 欠条 手续费 付款,支票 存折 银行卡 账单 汇款 挂失 收据 发票 取款 信用卡 付款 借条 欠条 凭证 卡片 一卡通 磁卡 账户 取款机 话费 交费 支付 钞票 缴费 手续费 押金 密码 卡 印章 便条 账 硬币 字迹
16,4,0.3958919552923807,0.018335969805734344,0.5,一口气 口 开口 一鼓作气,开口 一鼓作气 口 一口气,一鼓作气 口 开口 一口气,一口气 口 开口 一鼓作气
17,14,0.40690913265702067,-0.002950157554245984,0.5714285714285714,俗语 俗话 一句话 句 名言 成语 话 俗话说 废话 比喻 对联 古人,开场白 名言 废话 的话 古人 对联 话 俗话说,俗话说 成语 句 古人 名言 俗话 俗语 废话 话 开场白 一句话 比喻,俗语 俗话 一句话 句 名言 成语 话 俗话说 废话 比喻 对联 古人 的话 开场白
18,9,0.43268106494253483,0.10078057258146954,0.2222222222222222,联手 携手 共同 一起 一同 联合 一块儿 相约 牵头,相约 牵头 一块儿 联合 一起 共同 联手 一同,牵头 联手 一起 共同 联合 一块儿 相约 携手 一同,联手 携手 共同 一起 一同 联合 一块儿 相约 牵头
19,26,0.38928563514595943,0.011159872245587229,0.6153846153846154,仍然 仍旧 依然 依旧 始终 仍 一直 一向 向来 虽 一贯 还,同样 多年 长期以来 则 皆 照样 历来 继续,始终 历来 仍然 则 尚 一贯 仍 亦 仍旧 皆 照样 同样,仍然 仍旧 依然 依旧 始终 仍 一直 一向 向来 虽 一贯 还 历来 亦 自始至终 照样 至今 同样 则 皆 一如既往 继续 多年来 尚 长期以来 多年
20,10,0.4256852243721957,0.04380147138517042,0.4,单纯 片面 简单 纯粹 笼统 一味 抽象 单一 主观 单方面,单一 主观 简单 一味 单方面 笼统 抽象 纯粹,简单 纯粹 笼统 单方面 片面 主观 单纯 单一 抽象 一味,单纯 片面 简单 纯粹 笼统 一味 抽象 单一 主观 单方面
21,8,0.42892302556610346,0.016351268281289567,0.5,不得了 一塌糊涂 够呛 不像话 要命 受不了 一干二净 面目全非,一干二净 面目全非 受不了 要命 不像话 不得了 够呛 一塌糊涂,不像话 不得了 面目全非 够呛 受不了 要命 一塌糊涂 一干二净,不得了 一塌糊涂 够呛 不像话 要命 受不了 一干二净 面目全非
22,50,0.44922717137592494,0.026163239488851707,0.46,晚上 早上 早晨 中午 傍晚 夜里 下午 清晨 上午 深夜 凌晨 一早,放学 下班 夜班 睡觉 从早到晚 星期日 明天 晚饭,昨天 早晨 起床 彻夜 下午 通宵 凌晨 天 夜 一大早 晚饭 晚间,晚上 早上 早晨 中午 傍晚 夜里 下午 清晨 上午 深夜 凌晨 一早 半夜 夜晚 一大早 白天 晚饭 起床 早饭 午饭 当晚 下班 星期天 夜间 晚 前天 昨天 次日 明天 黄昏 当天 晚间 午睡 今天 星期日 睡觉 醒来 通宵 放学 日夜 从早到晚 夜 夜班 天 当日 日 明日 彻夜 今日 昼夜
23,9,0.47294880122794325,0.12055322290155969,0.1111111111111111,整天 成天 一天到晚 一年到头 没完没了 日复一日 翻来覆去 动不动 只管,只管 动不动 翻来覆去 日复一日 没完没了 一年到头 一天到晚 成天,动不动 一天到晚 只管 翻来覆去 一年到头 日复一日 成天 整天 没完没了,整天 成天 一天到晚 一年到头 没完没了 日复一日 翻来覆去 动不动 只管
24,4,0.44888265097740704,0.09403901259555959,0.25,匹 骏马 马 一头,一头 马 骏马 匹,匹 骏马 马 一头,匹 骏马 马 一头
25,3,0.396549042249091,0.029479470339707603,0.6666666666666666,绝对 绝 一定,一定 绝 绝对,绝 绝对 一定,绝对 绝 一定
26,115,0.4634789931286431,0.03692296984883953,0.3826086956521739,姑姑 舅舅 姐姐 妹妹 奶奶 爸爸 嫂子 哥哥 母亲 妈妈 爸 姥姥,亲属 子女 小姐 亲友 朋友 家人 夫妇 他,爱人 太太 胖子 子女 哥哥 老太太 哥 她 妈 妹 姐 姨,姑姑 舅舅 姐姐 妹妹 奶奶 爸爸 嫂子 哥哥 母亲 妈妈 爸 姥姥 爷爷 弟弟 父亲 儿子 闺女 女儿 媳妇 姥爷 妈 爹 老婆 伯母 叔叔 外婆 大姐 孙女 伯父 父母 岳母 祖母 丈夫 外公 妻子 阿姨 老公 岳父 大哥 孩子 亲戚 老太太 太太 伯伯 姐 继父 家人 孙子 大爷 老伴儿 长辈 女婿 继母 娘 姨 她 爱人 男朋友 女朋友 小孩儿 妹 老头儿 弟 姑娘 师父 邻居 两口子 老人家 丫头 亲人 老乡 老汉 儿女 大妈 祖父 亲生 朋友 大人 同学 老人 他 我 女孩儿 母女 老师 师傅 家里 一家人 小伙子 姐妹 寡妇 同事 你 老家 俩 徒弟 男孩儿 保姆 老王 父女 全家 宝宝 小朋友 胖子 亲友 子女 哥 小姐 夫人 母子 夫妇 娃娃 亲属 父子 兄弟
27,4,0.369199710676269,-0.014684010369594748,0.75,鹏程万里 一帆风顺 如意 万古长青,如意 一帆风顺 万古长青 鹏程万里,一帆风顺 如意 鹏程万里 万古长青,鹏程万里 一帆风顺 如意 万古长青
28,28,0.4056847578466009,0.04283526226536261,0.5,北部 南部 东部 东南 西北 中部 西南 西部 北 北边 南 西,边境 地区 附近 南方 区域 位于 沿 北方,东北 东南 境内 北 南 东 北部 区域 沿 北边 周边 边境,北部 南部 东部 东南 西北 中部 西南 西部 北 北边 南 西 东北 东 南北 地区 交界 北方 沿线 一带 境内 沿 周边 区域 附近 边境 位于 南方
29,2,0.7273948478637712,0.5589793539381868,0.0,应有尽有 一应俱全,一应俱全 应有尽有,一应俱全 应有尽有,应有尽有 一应俱全
30,2,0.45094787412281057,0.06999690610213662,0.0,一心 有朝一日,有朝一日 一心,有朝一日 一心,一心 有朝一日
31,28,0.4216992254575264,0.012592901908864872,0.35714285714285715,拼搏 兢兢业业 艰苦奋斗 勤奋 刻苦 不懈 辛勤 奋勇 坚持不懈 顽强 奋斗 勇往直前,一心一意 奉献 吃苦 艰苦 坚持不懈 聚精会神 持之以恒 刻苦,艰苦 废寝忘食 不懈 刻苦 前赴后继 顽强 辛勤 兢兢业业 奉献 吃苦 聚精会神 英勇,拼搏 兢兢业业 艰苦奋斗 勤奋 刻苦 不懈 辛勤 奋勇 坚持不懈 顽强 奋斗 勇往直前 英勇 自强不息 艰苦 齐心协力 夜以继日 发愤图强 勤劳 一心一意 废寝忘食 全心全意 持之以恒 吃苦 奉献 前赴后继 众志成城 聚精会神
32,2,0.4330888981064248,0.07542711033175947,0.5,一成不变 固定,一成不变 固定,固定 一成不变,一成不变 固定
33,5,0.4106375249224186,0.013918497121700579,0.6,亲手 亲自 动手 一手 主持,动手 一手 主持 亲手 亲自,亲自 动手 主持 亲手 一手,亲手 亲自 动手 一手 主持
34,11,0.46311444527038614,0.1124241576955534,0.09090909090909091,挣钱 谋生 赚钱 做生意 发财 打工 经商 致富 门路 一技之长 炒股,炒股 门路 一技之长 做生意 打工 致富 挣钱 发财,谋生 赚钱 做生意 门路 炒股 一技之长 致富 打工 经商 发财 挣钱,挣钱 谋生 赚钱 做生意 发财 打工 经商 致富 门路 一技之长 炒股
35,3,0.47511450345359546,0.17022245559453966,0.0,领导 同志 一把手,一把手 同志 领导,同志 一把手 领导,领导 同志 一把手
36,1,,0.0,0.0,一揽子,一揽子,一揽子,一揽子
37,54,0.40758645461572446,0.00020287351775920653,0.46296296296296297,换言之 此外 总而言之 事实上 除此之外 也就是说 总之 然而 由此可见 因此 另外 其次,所以 说实话 这样一来 说到底 这时候 看来 一方面 据,譬如 说到底 看来 总之 据悉 据此 据 这就是说 譬如说 说实话 纵观 就是说,换言之 此外 总而言之 事实上 除此之外 也就是说 总之 然而 由此可见 因此 另外 其次 由此看来 况且 相比之下 与此同时 这就是说 据悉 另一方面 总的来说 相对而言 说实话 这样一来 就是说 譬如说 综上所述 说白了 一般来说 譬如 所以 众所周知 相反 按理说 比如说 至此 例如 而 恰恰相反 比如 可见 说到底 至于 同时 这时候 看来 为此 此时 一方面 不用说 纵观 据 由此 其中 据此
38,48,0.4643245247569165,0.04342574007785686,0.3333333333333333,旁边 后边 前边 外边 那边 里边 前面 后面 那儿 上边 下边 左边,上面 里 右边 左边 这里 上头 一旁 里头,门口 旁边 周围 城里 上头 跟前 旁 左边 那儿 楼上 楼下 上面,旁边 后边 前边 外边 那边 里边 前面 后面 那儿 上边 下边 左边 底下 外面 外头 右边 上面 这边 旁 里面 对面 那里 里头 远处 东边 这儿 西边 门口 南边 楼下 两边 下面 楼上 跟前 里 一旁 后头 隔壁 中间 前头 周围 边 老远 这里 上头 两侧 前方 城里
39,8,0.3899179358367144,0.017032167445010786,0.375,每当 一旦 若 凡是 当 凡 万一 每,每 万一 凡是 凡 当 一旦 若 每当,凡 当 每 每当 若 凡是 万一 一旦,每当 一旦 若 凡是 当 凡 万一 每
40,4,0.4165303575959622,0.07467505278164276,0.0,暂时 短暂 短期 一时,暂时 短期 一时 短暂,暂时 短期 短暂 一时,暂时 短暂 短期 一时
41,16,0.4656235569567169,0.08912019611061973,0.375,相同 相似 一模一样 不同 截然不同 有所不同 大同小异 一样 类似 雷同 差不多 不相上下,同一 一样 雷同 类似 与众不同 不相上下 同等 相等,不同 一模一样 大同小异 同一 雷同 同等 有所不同 相同 类似 相似 相等 与众不同,相同 相似 一模一样 不同 截然不同 有所不同 大同小异 一样 类似 雷同 差不多 不相上下 同等 与众不同 相等 同一
42,4,0.463650739368582,0.14046353658087,0.0,一概而论 见仁见智 因人而异 定论,定论 因人而异 见仁见智 一概而论,一概而论 因人而异 定论 见仁见智,一概而论 见仁见智 因人而异 定论
43,1,,0.0,0.0,一次性,一次性,一次性,一次性
44,1,,0.0,0.0,一毛不拔,一毛不拔,一毛不拔,一毛不拔
45,14,0.43444447313651585,0.07877266828084015,0.2857142857142857,优秀 出色 一流 优异 卓越 杰出 出众 优良 顶尖 过硬 领先 先进,领军 先进 顶尖 优良 世界级 过硬 领先 出众,优良 顶尖 优秀 优异 杰出 先进 出色 世界级 出众 领军 领先 卓越,优秀 出色 一流 优异 卓越 杰出 出众 优良 顶尖 过硬 领先 先进 世界级 领军
46,12,0.4562256664015534,0.12841324491167835,0.25,略微 稍 稍微 稍稍 略 有所 较 相对 轻微 明显 偏 一点儿,一点儿 明显 偏 相对 较 轻微 略 有所,偏 稍 略 明显 略微 稍微 有所 稍稍 一点儿 相对 较 轻微,略微 稍 稍微 稍稍 略 有所 较 相对 轻微 明显 偏 一点儿
47,9,0.45990062432083767,0.08801501163240226,0.1111111111111111,终生 永远 一辈子 终身 一生 长久 永恒 永不 永久,长久 一生 永恒 永不 永久 永远 一辈子 终身,一辈子 永远 终身 永久 永不 一生 永恒 长久 终生,终生 永远 一辈子 终身 一生 长久 永恒 永不 永久
48,2,0.552211614295748,0.320726342150059,0.0,番 一番,一番 番,番 一番,番 一番
49,1,,0.0,0.0,一目了然,一目了然,一目了然,一目了然
50,11,0.4588944012466069,0.07375288455333306,0.18181818181818182,瞅 一眼 回头 抬头 打量 东张西望 左顾右盼 偷看 看 站住 过头,过头 看 站住 左顾右盼 打量 东张西望 偷看 一眼,瞅 看 打量 站住 偷看 回头 左顾右盼 东张西望 一眼 过头 抬头,瞅 一眼 回头 抬头 打量 东张西望 左顾右盼 偷看 看 站住 过头
51,16,0.4305992649701079,0.013138105820630573,0.375,发愁 犯愁 担心 担忧 操心 顾虑 头疼 伤脑筋 烦恼 疑虑 愁 后顾之忧,怨言 烦恼 一筹莫展 心病 提心吊胆 愁 后顾之忧 疑虑,心病 愁 操心 犯愁 怨言 后顾之忧 发愁 一筹莫展 提心吊胆 顾虑 担心 担忧,发愁 犯愁 担心 担忧 操心 顾虑 头疼 伤脑筋 烦恼 疑虑 愁 后顾之忧 提心吊胆 心病 一筹莫展 怨言
52,18,0.3939104472467396,-0.02467654313057581,0.6666666666666666,各种 各式各样 诸多 多种 种种 形形色色 五花八门 一系列 多样 诸如此类 层出不穷 丰富多彩,多样 千变万化 多方面 一系列 乱七八糟 诸如此类 之类 层出不穷,等 一连串 种种 形形色色 诸如此类 多方面 多样 多种 乱七八糟 之类 千变万化 诸多,各种 各式各样 诸多 多种 种种 形形色色 五花八门 一系列 多样 诸如此类 层出不穷 丰富多彩 一连串 多方面 之类 乱七八糟 千变万化 等
53,2,0.46856166197880555,0.19527876389864715,0.0,一线 线,线 一线,线 一线,一线 线
54,3,0.30552107857755173,-0.009979194568205701,0.6666666666666666,即 指 一经,指 一经 即,即 指 一经,即 指 一经
55,4,0.347003207607282,-0.01588950215859518,0.5,共识 双赢 一致 造福,一致 造福 双赢 共识,一致 双赢 共识 造福,共识 双赢 一致 造福
56,32,0.3873147810781483,-0.022442082083012353,0.5,拜会 会见 拜访 接见 视察 参观 访问 看望 探望 考察 陪同 出访,应邀 采访 代表团 观察 现场 会谈 听取 互访,看望 参观 实地 转达 拜会 采访 一行 探望 会面 会谈 会见 代表团,拜会 会见 拜访 接见 视察 参观 访问 看望 探望 考察 陪同 出访 拜见 会面 应邀 会晤 慰问 来访 观摩 会谈 实地 采访 代表团 听取 察看 调研 转达 一行 互访 率领 观察 现场
57,12,0.4471950983070412,0.09843847596705936,0.16666666666666666,路途 途中 路上 一路上 路程 旅途 旅程 中途 沿途 行程 半路 一路,行程 半路 一路 路上 路途 中途 沿途 路程,旅途 一路 沿途 旅程 一路上 半路 行程 路途 中途 路上 路程 途中,路途 途中 路上 一路上 路程 旅途 旅程 中途 沿途 行程 半路 一路
58,15,0.4278828224554192,0.04241385199548691,0.4,祝福 祝 祝愿 一路平安 保佑 祈祷 心想事成 好运 干杯 庆贺 一路顺风 晚安,好运 此致 一路顺风 庆贺 再见 庆祝 干杯 晚安,祝愿 祝福 再见 祝 祈祷 晚安 此致 庆祝 一路平安 保佑 一路顺风 干杯,祝福 祝 祝愿 一路平安 保佑 祈祷 心想事成 好运 干杯 庆贺 一路顺风 晚安 庆祝 再见 此致
59,5,0.4256130274969191,0.018970887977472945,0.6,一边 不停 一面 着 默默,着 默默 不停 一面 一边,一面 一边 不停 着 默默,一边 不停 一面 着 默默
60,3,0.5263196538094815,0.2535820168465335,0.0,一连 连续 连,连续 连 一连,一连 连续 连,一连 连续 连
61,4,0.3603789091097555,-0.02050580656571934,0.75,道 脱口而出 异口同声 一道,一道 异口同声 脱口而出 道,脱口而出 一道 道 异口同声,道 脱口而出 异口同声 一道
62,7,0.4297483538391463,0.07191800725899947,0.2857142857142857,混乱 紊乱 乱 失控 杂乱无章 一锅粥 失灵,失灵 杂乱无章 一锅粥 紊乱 乱 失控 混乱,混乱 一锅粥 乱 紊乱 失灵 失控 杂乱无章,混乱 紊乱 乱 失控 杂乱无章 一锅粥 失灵
63,5,0.47942854091262727,0.16573717284369557,0.0,短 长短 长 一长一短 粗,粗 一长一短 长短 短 长,长短 粗 短 一长一短 长,短 长短 长 一长一短 粗
64,19,0.4820384865072862,0.09251001605046223,0.21052631578947367,悦耳 清脆 刺耳 声音 响声 响起 声 动听 响亮 响 洪亮 笑声,一阵 响起 难听 抑扬顿挫 听 笑声 口哨 动听,响亮 响声 一阵 听 响 声 洪亮 抑扬顿挫 声音 悦耳 传来 好听,悦耳 清脆 刺耳 声音 响声 响起 声 动听 响亮 响 洪亮 笑声 好听 听 口哨 传来 难听 抑扬顿挫 一阵
65,36,0.4293928176824179,0.00574971906085776,0.4722222222222222,急忙 赶忙 连忙 赶紧 慌忙 立刻 立即 马上 赶快 当即 火速 随即,趁机 顾不上 一齐 顾不得 顺便 偷偷 忍不住 特意,慌忙 一齐 便 立刻 立即 趁机 来不及 顺便 果断 偷偷 连忙 连夜,急忙 赶忙 连忙 赶紧 慌忙 立刻 立即 马上 赶快 当即 火速 随即 毫不犹豫 悄悄 匆匆 迫不及待 偷偷 匆忙 连夜 趁机 忍不住 顾不得 来不及 纷纷 顾不上 灵机一动 特地 特意 便 争先恐后 来得及 不假思索 恼羞成怒 果断 一齐 顺便
66,6,0.40530086823376466,0.040746617201646705,0.16666666666666666,王 姜 丁 罗 小王 焦,小王 丁 罗 姜 焦 王,姜 丁 罗 焦 王 小王,王 姜 丁 罗 小王 焦
67,12,0.6316194537573296,0.34104357577110295,0.08333333333333333,六 四 五 七 八 三 九 二 十 第二 第 两,两 第二 十 二 第 三 四 五,第二 六 八 十 四 二 五 九 两 七 三 第,六 四 五 七 八 三 九 二 十 第二 第 两
68,11,0.37291325778713935,-0.042924097634228955,0.6363636363636364,万 千 百 余 数 几 多 亿 个 家 户,几 户 家 多 亿 个 数 万,几 千 多 家 亿 个 万 余 百 数 户,万 千 百 余 数 几 多 亿 个 家 户
69,1,,0.0,0.0,万万,万万,万万,万万
70,6,0.36137288405219165,-0.07532771755544938,0.8333333333333334,如醉如痴 爱不释手 不已 耳目一新 似曾相识 万分,万分 似曾相识 耳目一新 不已 爱不释手 如醉如痴,不已 爱不释手 耳目一新 如醉如痴 似曾相识 万分,如醉如痴 爱不释手 不已 耳目一新 似曾相识 万分
71,1,,0.0,0.0,万无一失,万无一失,万无一失,万无一失
72,2,0.5551343701508054,0.33125103221280994,0.0,万能 全能,全能 万能,全能 万能,万能 全能
73,160,0.41486530689370055,-0.0032747556840233318,0.44375,米饭 豆腐 酸奶 橙汁 水果 薯片 豆浆 薯条 果汁 果酱 香肠 饼干,酒 鲜 香味 风味 晚餐 啤酒 碗 葡萄酒,烧烤 汤圆 纯净水 烤鸭 烤肉 矿泉水 巧克力 淀粉 吃 咸 喝 嚼,米饭 豆腐 酸奶 橙汁 水果 薯片 豆浆 薯条 果汁 果酱 香肠 饼干 卤味 牛奶 饺子 红薯 饼 酱 海鲜 芝士 菜 粥 西红柿 南瓜 辣椒 馅儿 包子 肉 烤肉 蜂蜜 面包 罐头 面条儿 汤圆 汁 茄子 馒头 黄瓜 点心 佐料 好吃 巧克力 醋 调料 可口 红茶 白菜 柿子 酥 甜 吃 火腿 豆制品 酱油 香油 香蕉 土豆 小吃 火锅 蔬菜 奶茶 红酒 美味 咖啡 寿司 烤 口感 饭 番茄 零食 烤鸭 花生 主食 炖 鲜美 鸡蛋 月饼 饮料 砂糖 食物 萝卜 蒜 西瓜 麻辣 椰子 核桃 汽水 虾 冰棍儿 面粉 碗 茶 绿茶 蘑菇 粽子 糖果 糖 葱 可乐 中餐 三明治 桂花 辣 西餐 涮 方便面 风味 烧烤 香料 口味 茶叶 蛋糕 啤酒 汤 喝 莲子 香味 香 食用 奶 大米 味精 脆 嚼 早餐 美食 盒饭 枣 葡萄 梨 豆子 快餐 素食 品尝 食品 晚餐 烹调 酒 热腾腾 葡萄酒 瓜 午餐 矿泉水 瓜子 淀粉 嫩 咸 鲜 餐 纯净水 蜜 芝麻 料理 橘子 乳制品 酒水 奶粉 桃 玉米 百合
74,5,0.42516175737415124,0.08002186123940287,0.2,平面 三维 立体 图形 对称,图形 对称 立体 三维 平面,图形 立体 对称 平面 三维,平面 三维 立体 图形 对称
75,23,0.39733206820122297,-0.006967443559159165,0.4782608695652174,凹 斜 弯 凸 翘 扁 圆形 竖 弯曲 圆 拱 尖,勾 秃 缝 弯曲 刺 横 歪 形,圆形 凹 凸 刺 勾 叉 圆 尖 弯 形 三角 秃,凹 斜 弯 凸 翘 扁 圆形 竖 弯曲 圆 拱 尖 形 裂 角 秃 歪 横 缝 叉 刺 勾 三角
76,1,,0.0,0.0,上,上,上,上
77,3,0.4175642086428661,0.09575343147357462,0.0,左右 出头 上下,上下 出头 左右,上下 出头 左右,左右 出头 上下
78,36,0.3827134913936911,-0.01764552696165559,0.5833333333333334,月初 年初 月底 月份 下旬 上个月 年底 中旬 上旬 去年 今年 前年,明年 周 年 初 全年 近年来 近来 末,初 周 年 底 以来 年底 年初 年前 上周 末 月 月底,月初 年初 月底 月份 下旬 上个月 年底 中旬 上旬 去年 今年 前年 近期 上周 前不久 年前 近日 日前 月 此前 下个月 明年 前夕 季度 以来 最近 近来 近年来 同期 全年 周 年 此次 初 底 末
79,38,0.429615386154925,0.05961575259151377,0.23684210526315788,任命 聘任 职务 出任 辞去 就任 辞职 任职 担任 兼任 罢免 辞退,人选 聘请 辞 接替 职位 聘用 解雇 离职,撤换 开除 任 任职 罢免 兼任 上任 当选 连任 现任 辞退 人选,任命 聘任 职务 出任 辞去 就任 辞职 任职 担任 兼任 罢免 辞退 免职 任 任期 离职 撤换 公职 现任 就职 连任 接替 提名 提拔 辞呈 上任 聘 聘用 当选 职位 解雇 人选 推选 前任 开除 晋升 聘请 辞
80,29,0.41145900834298604,-0.006912143209621943,0.6206896551724138,攀升 上升 下降 回升 飙升 上涨 下跌 回落 涨 升高 跌 高涨,降 升温 高涨 下调 与日俱增 上调 增 涨,升 增 水涨船高 上升 涨 升温 上涨 上调 逐年 升高 反弹 回落,攀升 上升 下降 回升 飙升 上涨 下跌 回落 涨 升高 跌 高涨 反弹 增长 萎缩 升温 下调 缩水 升 好转 上调 急剧 恶化 水涨船高 降 跳水 逐年 增 与日俱增
81,23,0.4437654974535776,0.011550817375940598,0.43478260869565216,回去 回来 过来 进去 出去 回家 进来 出来 下楼 上去 下来 上楼,出来 下楼 回 完了 出门 上去 下山 来,下去 下山 顺路 去 回 完 进去 上去 来 完了 进来 上来,回去 回来 过来 进去 出去 回家 进来 出来 下楼 上去 下来 上楼 去 完了 上来 下去 下山 出门 起来 完 来 顺路 回
82,21,0.418981387478294,0.05594661070631595,0.3333333333333333,议会 议员 总统 国会 大选 内阁 首相 竞选 选举 政党 选民 总理,下台 大臣 联邦 宪法 投票 元首 上台 候选人,下台 竞选 选民 选举 内阁 上台 宪法 总理 总统 联邦 国会 大选,议会 议员 总统 国会 大选 内阁 首相 竞选 选举 政党 选民 总理 候选人 首脑 宪法 下台 元首 联邦 投票 大臣 上台
83,7,0.3997027267619928,-0.014457459560798247,0.7142857142857143,上级 下级 机关 部门 基层 单位 上司,基层 单位 上司 机关 部门 上级 下级,机关 上司 上级 部门 单位 基层 下级,上级 下级 机关 部门 基层 单位 上司
84,9,0.43458363658019916,0.05583359298562155,0.2222222222222222,出场 上场 入场 进场 开场 下场 在场 全场 出局,出局 下场 在场 全场 上场 开场 进场 入场,下场 进场 开场 入场 上场 全场 出场 出局 在场,出场 上场 入场 进场 开场 下场 在场 全场 出局
