token,community,best_cluster_match_fraction
举措,288,0.0
举止,6,0.25
举行,270,0.25
举重,289,1.0
乃,290,1.0
乃至,139,0.5
久,291,1.0
久仰,160,1.0
久违,292,0.75
义务,293,1.0
义工,294,1.0
之,290,1.0
之一,295,1.0
之下,228,0.5
之中,228,1.0
之内,296,1.0
之前,81,0.0
之后,130,1.0
之外,296,1.0
之所以,169,0.0
之类,55,1.0
之间,297,1.0
乌云,298,1.0
乐,299,1.0
乐器,200,1.0
乐园,300,1.0
乐意,172,1.0
乐曲,200,1.0
乐观,301,1.0
乐趣,302,0.25
乐队,200,1.0
乒乓球,289,1.0
乔装,303,1.0
乖,185,0.25
乖巧,304,0.5
乘,108,0.75
乘人之危,305,1.0
乘坐,108,1.0
乘客,108,1.0
乘车,108,1.0
乙,206,1.0
九,68,1.0
乞丐,306,1.0
乞求,307,0.5
乞讨,306,0.75
也,128,0.5
也好,174,0.75
也就是说,39,1.0
也许,128,1.0
习俗,308,1.0
习惯,308,0.5
乡,309,0.75
乡下,309,1.0
乡亲,310,0.5
乡村,309,1.0
书,199,1.0
书写,311,1.0
书包,106,1.0
书店,192,1.0
书房,312,1.0
书架,312,1.0
书柜,312,1.0
书桌,312,1.0
书橱,312,1.0
书法,233,1.0
书籍,199,1.0
书记,267,1.0
书面,93,0.0
买,136,0.5
买不起,136,0.5
买卖,313,0.25
乱,64,1.0
乱七八糟,55,0.5
乳制品,76,1.0
了,314,0.5
了不起,283,1.0
了却,315,0.0
了结,316,1.0
了解,317,0.75
予以,132,1.0
争,318,0.75
争先恐后,3,0.75
争光,319,1.0
争分夺秒,33,1.0
争取,33,1.0
争吵,320,1.0
争夺,321,1.0
争执,320,1.0
争气,319,1.0
争端,320,1.0
争议,320,1.0
争论,320,1.0
事,213,1.0
事业,322,1.0
事件,213,0.0
事先,323,1.0
事务,324,1.0
事务所,325,1.0
事后,130,0.75
事宜,324,1.0
事实,326,0.0
事实上,39,1.0
事态,213,0.0
事情,213,1.0
事故,222,0.5
事物,327,0.25
事迹,328,1.0
事项,324,1.0
二,68,1.0
二手,329,1.0
二手车,330,0.5
二氧化碳,331,0.75
二维码,332,1.0
于,333,0.75
于是,130,1.0
亏,334,1.0
亏损,210,0.75
亏本,334,0.75
云,335,0.5
互信,336,0.75
互动,337,1.0
互助,338,0.75
互相,297,1.0
互联网,339,0.75
互补,340,0.25
互访,336,0.75
五,68,1.0
五星级,192,0.75
五花八门,55,0.75
五颜六色,341,0.75
井,342,0.75
亚军,203,1.0
亚运会,203,1.0
些,8,0.25
亡羊补牢,343,1.0
交,344,0.5
交付,345,0.75
交代,326,0.75
交叉,297,1.0
交响乐,200,1.0
交头接耳,15,0.25
交往,336,0.25
交情,346,0.0
交换,347,0.5
交接,345,0.75
交易,313,0.5
交替,348,1.0
交朋友,254,0.0
交流,336,0.25
交涉,336,1.0
交界,29,1.0
交纳,344,1.0
交给,349,1.0
交警,350,0.75
交谈,336,0.25
交费,344,0.5
交通,351,0.5
交锋,321,1.0
交际,352,0.5
交集,353,1.0
亦,354,1.0
产,210,0.0
产业,209,1.0
产值,210,0.75
产品,209,1.0
产地,355,0.75
产物,356,0.5
产生,357,1.0
产量,210,0.75
亩,358,0.75
享,359,0.25
享受,360,0.0
享有,361,0.75
京剧,200,1.0
亮,341,1.0
亮丽,362,0.5
亮点,363,0.5
亮相,364,1.0
亲,365,1.0
亲人,27,1.0
亲切,366,0.5
亲友,310,0.25
亲和力,302,0.75
亲密,346,0.0
亲属,27,1.0
亲情,367,1.0
亲戚,27,1.0
亲手,35,0.5
亲朋好友,310,1.0
亲热,346,0.0
亲爱,60,0.25
亲生,27,1.0
亲眼,368,0.75
亲自,35,1.0
亲身,360,0.75
亲近,346,0.0
人,238,1.0
人为,369,0.25
人事,370,0.75
人们,371,0.5
人体,372,1.0
人力,373,0.75
人口,118,0.25
人员,374,0.75
人品,375,1.0
人均,376,1.0
人士,193,0.5
人家,174,0.5
人工,369,1.0
人工智能,339,1.0
人性,377,0.25
人情,378,0.25
人手,379,1.0
人才,370,0.5
人数,380,1.0
人文,265,0.5
人权,381,0.5
人格,375,0.75
人次,382,0.75
人民,383,0.75
人民币,384,1.0
人气,385,1.0
人物,264,0.25
人生,386,1.0
人类,327,0.75
人缘儿,319,0.0
人群,224,1.0
人行道,387,1.0
人质,388,1.0
人身,389,1.0
人选,82,1.0
人造,369,1.0
人道,381,0.5
人间,91,0.75
亿,70,1.0
什么,169,1.0
什么样,169,1.0
仁慈,186,0.0
仅,12,1.0
仅仅,128,0.5
仅次于,133,1.0
仇,155,1.0
仇人,155,0.5
仇恨,155,0.5
今后,390,0.25
今天,23,1.0
今年,81,0.5
今日,23,1.0
介于,133,1.0
介入,391,1.0
介意,142,1.0
介绍,285,1.0
仍,354,1.0
仍旧,354,1.0
仍然,354,1.0
从,392,1.0
从不,127,1.0
从业,393,1.0
从中,392,1.0
从事,393,0.75
从今以后,114,0.25
从前,394,1.0
从头,392,1.0
从容,395,1.0
从容不迫,395,1.0
从小,396,0.75
从早到晚,23,1.0
从未,127,1.0
从来,127,1.0
从来不,127,1.0
从此,130,1.0
从没,127,1.0
从而,139,1.0
仓库,397,0.75
仔细,194,1.0
他,27,1.0
他人,398,1.0
他们,371,0.75
付,344,1.0
付出,399,0.75
付款,344,0.25
付费,344,0.25
仙女,400,1.0
仙鹤,401,1.0
代,9,0.5
代价,399,0.75
代号,402,0.0
代替,403,1.0
代理,404,1.0
代理人,404,1.0
代表,405,1.0
代表团,58,1.0
代言人,406,1.0
令,139,1.0
以,407,1.0
以上,109,0.5
以下,408,1.0
以为,409,1.0
以便,139,1.0
以免,139,1.0
以内,296,1.0
以前,81,0.0
以及,410,0.25
以后,130,1.0
以外,296,1.0
以往,394,1.0
以来,81,1.0
